epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27628,1.04231,2.64927,1.37978,0.77165,0.83333,0.88888,0.6555,1.43525,1.40122,1.28201,0,0,0
2,3.83304,1.06671,3.00596,1.39913,0.80665,0.75,0.87496,0.64366,1.4584,1.41151,1.28874,1.17822e-06,1.17822e-06,1.17822e-06
3,5.03539,0.79355,2.97264,1.29883,0.75288,0.75,0.8747,0.63547,1.47947,1.43359,1.3017,2.33288e-06,2.33288e-06,2.33288e-06
4,6.15088,1.42871,2.79215,1.93195,0.70593,0.75,0.87511,0.60442,1.49299,1.46303,1.30804,3.46397e-06,3.46397e-06,3.46397e-06
5,7.22586,1.17188,3.50487,1.64692,0.68119,0.75,0.87535,0.60268,1.50893,1.46476,1.31268,4.5715e-06,4.5715e-06,4.5715e-06
6,8.32426,1.03609,2.57405,1.33086,0.68352,0.75,0.87537,0.59125,1.52794,1.50221,1.32198,5.65548e-06,5.65548e-06,5.65548e-06
7,9.42034,1.02739,2.597,1.35297,0.69025,0.75,0.88953,0.5909,1.54817,1.53994,1.3392,6.71588e-06,6.71588e-06,6.71588e-06
8,10.5307,0.93945,2.33501,1.27818,0.83439,0.58333,0.88939,0.60518,1.57087,1.61908,1.36614,7.75273e-06,7.75273e-06,7.75273e-06
9,11.6344,1.12574,3.48268,1.40442,0.80591,0.58333,0.83865,0.61272,1.5731,1.65222,1.36493,8.76602e-06,8.76602e-06,8.76602e-06
10,12.7564,0.98458,2.59809,1.22772,0.78922,0.58333,0.83889,0.59622,1.56146,1.69679,1.36904,9.75574e-06,9.75574e-06,9.75574e-06
11,13.8568,1.28619,2.8134,1.50337,0.76676,0.58333,0.75179,0.58759,1.55938,1.74921,1.37701,1.07219e-05,1.07219e-05,1.07219e-05
12,14.9645,0.90469,2.20204,1.3191,0.74592,0.58333,0.75099,0.58754,1.54798,1.76492,1.37205,1.16645e-05,1.16645e-05,1.16645e-05
13,16.0253,1.09747,2.35361,1.47769,0.72747,0.58333,0.75113,0.57104,1.54157,1.7746,1.36636,1.25835e-05,1.25835e-05,1.25835e-05
14,17.1206,1.04275,2.44507,1.37834,0.72748,0.58333,0.75138,0.57104,1.54752,1.798,1.37263,1.3479e-05,1.3479e-05,1.3479e-05
15,18.2162,1.08187,1.78801,1.45716,0.94758,0.39162,0.74855,0.56994,1.53827,1.83093,1.36373,1.43509e-05,1.43509e-05,1.43509e-05
16,19.3454,1.01505,2.4448,1.47015,0.94737,0.39143,0.74951,0.57012,1.52625,1.879,1.3553,1.51993e-05,1.51993e-05,1.51993e-05
17,20.5011,0.95238,2.31309,1.37482,0.93729,0.37407,0.66395,0.50177,1.52749,1.90156,1.348,1.60241e-05,1.60241e-05,1.60241e-05
18,21.5892,1.19375,2.14406,1.49527,0.93729,0.37407,0.66395,0.50177,1.52749,1.90156,1.348,1.68253e-05,1.68253e-05,1.68253e-05
19,22.6942,1.06923,1.69389,1.3554,0.93918,0.37439,0.63608,0.46126,1.53829,1.95282,1.35705,1.7603e-05,1.7603e-05,1.7603e-05
20,23.7621,0.8954,1.66764,1.19619,0.93918,0.37439,0.63608,0.46126,1.53829,1.95282,1.35705,1.83571e-05,1.83571e-05,1.83571e-05
21,24.8484,1.07691,2.92172,1.46673,0.93945,0.37502,0.60471,0.45848,1.57172,2.00896,1.37707,1.90876e-05,1.90876e-05,1.90876e-05
22,25.8997,0.81692,1.9355,1.38864,0.93945,0.37502,0.60471,0.45848,1.57172,2.00896,1.37707,1.97946e-05,1.97946e-05,1.97946e-05
23,27.0297,1.23258,1.80638,1.44568,0.94597,0.39068,0.60741,0.43966,1.60664,2.04792,1.41226,2.0478e-05,2.0478e-05,2.0478e-05
24,28.0873,0.93828,1.71667,1.2846,0.94597,0.39068,0.60741,0.43966,1.60664,2.04792,1.41226,2.11379e-05,2.11379e-05,2.11379e-05
25,29.1682,0.82775,1.93818,1.26206,0.94676,0.39037,0.60732,0.43607,1.65854,2.13573,1.4646,2.17741e-05,2.17741e-05,2.17741e-05
26,30.2316,0.9082,1.68336,1.38232,0.94676,0.39037,0.60732,0.43607,1.65854,2.13573,1.4646,2.23869e-05,2.23869e-05,2.23869e-05
27,31.3349,0.90597,1.67721,1.26766,0.94751,0.38939,0.60784,0.43626,1.68613,2.186,1.49171,2.2976e-05,2.2976e-05,2.2976e-05
28,32.4015,0.99997,1.55685,1.32477,0.94751,0.38939,0.60784,0.43626,1.68613,2.186,1.49171,2.35417e-05,2.35417e-05,2.35417e-05
29,33.4999,1.26071,2.14387,1.47789,0.94435,0.38006,0.58162,0.4325,1.70997,2.23111,1.52001,2.40837e-05,2.40837e-05,2.40837e-05
30,34.5534,0.77084,1.4489,1.14256,0.94435,0.38006,0.58162,0.4325,1.70997,2.23111,1.52001,2.46022e-05,2.46022e-05,2.46022e-05
31,35.6725,0.85094,1.44568,1.23962,0.9454,0.38262,0.49899,0.34979,1.74719,2.2645,1.54219,2.50971e-05,2.50971e-05,2.50971e-05
32,36.7609,0.95699,1.3592,1.26,0.9454,0.38262,0.49899,0.34979,1.74719,2.2645,1.54219,2.55685e-05,2.55685e-05,2.55685e-05
33,37.8946,1.00389,1.69082,1.37928,0.94922,0.3867,0.46225,0.3168,1.75852,2.29163,1.55291,2.60163e-05,2.60163e-05,2.60163e-05
34,38.9588,0.82335,1.44143,1.33788,0.94922,0.3867,0.46225,0.3168,1.75852,2.29163,1.55291,2.64405e-05,2.64405e-05,2.64405e-05
35,40.0625,0.89225,1.4059,1.22521,0.94663,0.38333,0.45077,0.30606,1.77674,2.33142,1.56583,2.68412e-05,2.68412e-05,2.68412e-05
